Employee Number,Employee Full Name,Date of Birth,Gender,Position Type,Division,Function Name,Recruitment Type,Joined On,Confirmation Date,Position Job Level (Label),Employee Type,Employee Status,Assignment Status,Last Promotion Date
197735,Vivaan Patel,29-06-1989,Male,Contract,Division B,Operations,External,28-11-2023,22-02-2020,Senior,Contractual,Inactive,Assigned,15-12-2022
617664,Vihaan Agarwal,15-09-1996,Male,Full-time,Division C,Operations,Internal,08-11-2021,30-10-2021,Junior,Contractual,Active,Unassigned,16-04-2024
193803,Myra Kapoor,25-07-2000,Male,Part-time,Division B,Operations,External,27-06-2022,21-06-2020,Lead,Temporary,Active,Unassigned,03-08-2021
786540,Ayaan Roy,15-12-1977,Female,Contract,Division C,Operations,Internal,16-05-2023,20-05-2021,Lead,Temporary,Active,Assigned,18-05-2024
863329,Avni Shukla,24-03-1996,Female,Contract,Division B,Operations,Internal,02-03-2022,05-07-2020,Junior,Temporary,Inactive,Assigned,06-08-2020
157118,Vivaan Patel,13-05-1994,Female,Contract,Division A,Operations,Internal,08-01-2020,02-02-2019,Lead,Temporary,Active,Unassigned,17-07-2021
163021,Aadhya Verma,24-05-1993,Female,Part-time,Division B,Marketing,External,08-03-2024,10-09-2021,Junior,Contractual,Active,Unassigned,07-12-2021
586150,Vivaan Patel,30-10-1989,Female,Part-time,Division B,Operations,External,10-09-2022,30-11-2021,Senior,Contractual,Inactive,Unassigned,22-03-2023
493561,Ishaan Singh,07-10-1983,Female,Contract,Division B,Operations,External,02-07-2020,02-09-2019,Lead,Temporary,Inactive,Unassigned,18-10-2021
898230,Aadhya Verma,16-05-1976,Female,Full-time,Division B,Operations,External,02-01-2023,03-02-2021,Lead,Permanent,Active,Assigned,11-04-2022
414660,Ishaan Singh,22-02-1968,Male,Contract,Division C,Operations,External,22-02-2021,29-01-2021,Junior,Temporary,Active,Unassigned,27-10-2020
605579,Sai Krishna,04-12-1989,Male,Part-time,Division B,Operations,Internal,29-05-2024,03-11-2021,Senior,Contractual,Active,Assigned,14-04-2023
272551,Ishaan Singh,09-09-1983,Female,Contract,Division C,Operations,Internal,09-02-2023,25-02-2021,Lead,Permanent,Active,Unassigned,20-11-2023
745432,Vivaan Patel,24-06-1985,Female,Contract,Division A,Operations,External,28-04-2023,04-07-2022,Lead,Contractual,Active,Assigned,25-02-2022
107603,Arjun Reddy,07-07-1998,Female,Part-time,Division B,Operations,External,21-09-2021,26-03-2021,Junior,Temporary,Active,Unassigned,08-04-2022
255062,Myra Kapoor,24-05-1970,Female,Part-time,Division C,Operations,Internal,03-05-2021,30-09-2020,Senior,Temporary,Active,Assigned,16-08-2021
525788,Ira Joshi,05-10-1978,Male,Part-time,Division C,Operations,External,09-08-2022,07-01-2021,Mid,Permanent,Active,Unassigned,07-04-2022
591957,Sai Krishna,02-07-1983,Male,Full-time,Division C,Marketing,Internal,24-05-2022,08-06-2020,Lead,Contractual,Active,Unassigned,11-04-2023
787300,Avni Shukla,10-10-1963,Male,Contract,Division A,Operations,External,07-11-2020,09-02-2020,Junior,Contractual,Active,Unassigned,05-07-2021
160820,Aadhya Verma,06-05-1985,Female,Full-time,Division C,Operations,Internal,24-09-2021,29-04-2021,Mid,Permanent,Active,Assigned,09-02-2022
350422,Ananya Mehta,13-11-1999,Male,Part-time,Division A,Operations,Internal,23-05-2022,08-10-2021,Mid,Temporary,Active,Assigned,29-10-2020
137634,Aarav Sharma,19-07-1983,Male,Full-time,Division B,Operations,External,08-05-2024,28-09-2023,Junior,Permanent,Active,Assigned,23-08-2023
716657,Myra Kapoor,30-11-2005,Female,Part-time,Division B,Operations,Internal,25-05-2023,14-01-2020,Lead,Permanent,Inactive,Unassigned,25-02-2021
401846,Reyansh Gupta,13-10-1986,Male,Contract,Division B,Operations,External,13-04-2024,31-08-2020,Mid,Contractual,Active,Unassigned,12-09-2022
928004,Aditya Kumar,27-09-1977,Female,Part-time,Division C,Marketing,Internal,16-06-2020,21-11-2019,Lead,Temporary,Active,Assigned,16-05-2022
974198,Ananya Mehta,22-04-1964,Male,Contract,Division B,Operations,Internal,12-08-2020,28-05-2020,Senior,Permanent,Inactive,Unassigned,17-05-2022
552161,Vihaan Agarwal,07-01-2000,Female,Full-time,Division B,Operations,Internal,16-03-2022,18-11-2021,Senior,Contractual,Active,Assigned,24-08-2020
455209,Vihaan Agarwal,28-10-1997,Male,Part-time,Division B,Marketing,External,24-07-2022,22-07-2020,Senior,Contractual,Inactive,Unassigned,02-12-2022
950879,Aarohi Jain,25-06-1971,Female,Part-time,Division A,Operations,External,24-06-2024,24-08-2022,Senior,Permanent,Active,Assigned,19-02-2021
223272,Ira Joshi,26-11-2003,Female,Full-time,Division C,Marketing,External,27-01-2024,09-09-2023,Mid,Contractual,Active,Assigned,04-02-2024
946168,Ira Joshi,15-08-1973,Male,Contract,Division B,Marketing,Internal,16-11-2023,27-09-2020,Lead,Temporary,Active,Unassigned,13-11-2022
729816,Sai Krishna,02-06-1978,Male,Full-time,Division A,Marketing,Internal,13-03-2022,17-02-2022,Mid,Contractual,Active,Unassigned,30-06-2021
116285,Avni Shukla,12-07-1997,Male,Contract,Division C,Marketing,External,04-08-2020,04-01-2020,Junior,Contractual,Active,Assigned,01-12-2020
313053,Vivaan Patel,12-06-1998,Female,Contract,Division A,Marketing,External,03-06-2020,17-04-2020,Senior,Permanent,Active,Assigned,18-02-2021
587154,Ananya Mehta,07-05-1977,Male,Part-time,Division A,Marketing,External,05-03-2020,18-02-2020,Mid,Permanent,Active,Assigned,22-08-2021
227908,Arjun Reddy,26-04-1966,Male,Contract,Division B,Operations,External,12-06-2021,23-03-2021,Lead,Contractual,Active,Assigned,03-02-2024
321976,Arjun Reddy,29-05-1980,Female,Full-time,Division B,Operations,External,10-10-2023,28-06-2023,Mid,Contractual,Active,Assigned,11-01-2023
461298,Vivaan Patel,21-11-1964,Male,Contract,Division A,Marketing,Internal,10-02-2022,12-11-2020,Junior,Permanent,Inactive,Unassigned,17-06-2024
511866,Ishaan Singh,09-06-1982,Female,Contract,Division A,Operations,External,25-09-2023,04-08-2022,Senior,Contractual,Active,Assigned,30-08-2020
166022,Myra Kapoor,31-10-1983,Female,Part-time,Division C,Marketing,External,28-03-2023,08-03-2020,Mid,Permanent,Inactive,Unassigned,23-07-2024
972575,Sai Krishna,20-08-1988,Female,Full-time,Division B,Operations,External,13-04-2022,28-09-2020,Senior,Permanent,Active,Unassigned,16-07-2023
367247,Arjun Reddy,11-06-1977,Female,Contract,Division C,Operations,Internal,24-06-2024,01-12-2020,Senior,Temporary,Active,Assigned,15-05-2023
135383,Aarav Sharma,09-01-1986,Male,Full-time,Division C,Operations,External,20-09-2021,06-09-2021,Lead,Contractual,Active,Unassigned,12-11-2020
946277,Krishna Nair,04-11-1966,Female,Part-time,Division A,Operations,External,25-04-2020,29-06-2019,Senior,Contractual,Active,Assigned,27-03-2024
972514,Myra Kapoor,26-01-1964,Male,Full-time,Division A,Marketing,External,27-05-2023,10-09-2020,Junior,Permanent,Active,Unassigned,13-02-2022
801429,Anika Desai,25-07-1984,Female,Full-time,Division C,Operations,External,15-07-2020,25-02-2020,Junior,Permanent,Active,Assigned,15-06-2021
508159,Aarav Sharma,02-05-2001,Female,Full-time,Division C,Operations,Internal,03-03-2022,22-01-2022,Senior,Contractual,Active,Assigned,20-05-2021
438644,Anika Desai,06-03-1987,Female,Contract,Division C,Operations,Internal,05-07-2024,28-05-2021,Senior,Temporary,Active,Assigned,26-03-2022
845062,Reyansh Gupta,27-04-1991,Male,Part-time,Division C,Operations,Internal,10-02-2021,10-09-2020,Lead,Contractual,Inactive,Assigned,11-07-2023
276914,Anika Desai,01-11-1989,Female,Part-time,Division B,Operations,External,23-01-2023,18-10-2020,Mid,Temporary,Active,Assigned,25-04-2021
803016,Diya Shah,31-01-1997,Female,Contract,Division C,Marketing,External,19-07-2023,05-04-2023,Senior,Temporary,Active,Unassigned,15-02-2023
488483,Aditya Kumar,12-08-1963,Male,Part-time,Division C,Operations,External,22-12-2022,22-12-2020,Senior,Permanent,Active,Unassigned,10-04-2022
585508,Aarya Mishra,16-08-2005,Male,Contract,Division B,Marketing,Internal,23-07-2024,15-11-2023,Lead,Temporary,Active,Assigned,16-10-2022
890902,Ayaan Roy,27-06-1982,Female,Contract,Division B,Operations,External,22-12-2020,27-10-2020,Senior,Contractual,Active,Unassigned,10-07-2020
102538,Krishna Nair,23-12-1984,Male,Part-time,Division A,Operations,Internal,23-10-2020,19-03-2020,Senior,Temporary,Active,Unassigned,05-08-2020
679379,Avni Shukla,27-12-1996,Female,Full-time,Division C,Operations,External,22-11-2020,20-02-2020,Junior,Contractual,Active,Unassigned,09-10-2021
535081,Vivaan Patel,04-05-1990,Female,Part-time,Division C,Operations,External,25-04-2024,23-09-2021,Lead,Contractual,Active,Assigned,04-05-2021
153769,Arjun Reddy,14-06-1965,Female,Contract,Division C,Operations,Internal,13-02-2024,04-04-2022,Lead,Contractual,Active,Assigned,15-01-2021
882182,Aarohi Jain,14-08-1987,Male,Full-time,Division B,Operations,External,25-06-2023,18-08-2021,Junior,Contractual,Active,Unassigned,03-12-2022
274793,Arjun Reddy,20-11-1985,Male,Full-time,Division B,Operations,External,28-07-2020,25-05-2020,Lead,Contractual,Active,Unassigned,21-04-2022
496186,Riya Pandey,04-03-1973,Female,Full-time,Division A,Marketing,Internal,21-10-2020,03-05-2020,Junior,Permanent,Active,Assigned,04-10-2021
590389,Ishaan Singh,08-02-1972,Male,Part-time,Division C,Operations,Internal,31-07-2023,25-06-2023,Mid,Permanent,Active,Assigned,10-09-2022
548778,Aditya Kumar,20-10-2000,Female,Full-time,Division B,Marketing,External,11-09-2023,19-09-2022,Mid,Contractual,Active,Unassigned,27-06-2024
387434,Vihaan Agarwal,08-01-1982,Female,Part-time,Division B,Marketing,External,16-06-2024,08-04-2024,Junior,Permanent,Active,Unassigned,13-04-2020
955535,Sai Krishna,25-08-1989,Male,Full-time,Division B,Operations,External,25-01-2022,06-06-2021,Lead,Contractual,Active,Assigned,06-09-2020
343204,Ishaan Singh,23-08-1977,Female,Full-time,Division C,Operations,External,01-11-2022,17-09-2020,Mid,Permanent,Active,Unassigned,09-08-2023
960373,Aarya Mishra,22-10-1965,Female,Full-time,Division C,Operations,External,15-11-2020,09-02-2020,Senior,Temporary,Active,Unassigned,01-08-2021
526557,Avni Shukla,06-05-1991,Female,Contract,Division C,Operations,Internal,03-03-2020,26-09-2019,Senior,Permanent,Active,Unassigned,28-11-2020
452365,Myra Kapoor,16-03-1988,Female,Full-time,Division B,Operations,External,27-09-2022,22-02-2021,Senior,Temporary,Active,Unassigned,02-03-2022
551122,Aarohi Jain,28-06-1971,Female,Part-time,Division A,Marketing,Internal,05-02-2020,04-09-2019,Junior,Contractual,Inactive,Unassigned,23-05-2024
706804,Aditya Kumar,23-03-1983,Female,Full-time,Division A,Operations,Internal,20-05-2021,05-05-2021,Mid,Permanent,Inactive,Unassigned,15-03-2024
930553,Ananya Mehta,04-12-1986,Male,Part-time,Division C,Marketing,Internal,16-01-2022,26-10-2021,Junior,Contractual,Inactive,Unassigned,06-12-2022
421557,Aadhya Verma,28-03-1982,Male,Part-time,Division C,Operations,External,14-03-2023,05-01-2021,Junior,Temporary,Active,Unassigned,17-11-2021
245999,Diya Shah,17-01-1964,Female,Contract,Division A,Operations,Internal,06-06-2020,26-04-2020,Senior,Contractual,Active,Unassigned,22-02-2023
346802,Aditya Kumar,03-04-1996,Male,Part-time,Division B,Operations,External,29-12-2021,12-12-2021,Senior,Permanent,Active,Assigned,23-07-2023
892458,Anika Desai,17-05-1999,Male,Contract,Division C,Operations,Internal,25-03-2022,02-07-2021,Senior,Contractual,Inactive,Assigned,01-01-2020
665418,Vihaan Agarwal,01-07-1984,Female,Contract,Division B,Operations,External,02-01-2021,02-12-2020,Mid,Permanent,Active,Unassigned,06-06-2023
763554,Ananya Mehta,21-04-1987,Male,Full-time,Division A,Operations,Internal,08-11-2023,11-10-2020,Junior,Temporary,Active,Unassigned,08-09-2021
252575,Diya Shah,17-08-1978,Male,Contract,Division B,Operations,Internal,03-07-2023,30-11-2021,Senior,Contractual,Active,Unassigned,23-03-2024
337905,Reyansh Gupta,10-01-1971,Male,Contract,Division A,Marketing,Internal,29-09-2020,19-09-2020,Mid,Temporary,Active,Unassigned,24-01-2020
403460,Aarya Mishra,04-03-1964,Male,Full-time,Division B,Operations,External,09-03-2021,15-03-2020,Lead,Contractual,Active,Unassigned,23-05-2020
461795,Vihaan Agarwal,01-12-1979,Female,Full-time,Division A,Operations,External,18-01-2023,26-01-2022,Senior,Temporary,Inactive,Assigned,16-12-2020
631037,Ira Joshi,11-05-1975,Female,Full-time,Division B,Operations,Internal,24-09-2021,07-05-2021,Mid,Contractual,Active,Unassigned,30-03-2020
563233,Anika Desai,12-07-1983,Female,Contract,Division B,Marketing,External,26-04-2023,05-02-2023,Junior,Contractual,Active,Unassigned,30-03-2021
687535,Ishaan Singh,19-01-1969,Female,Contract,Division B,Operations,External,06-11-2022,07-07-2022,Junior,Temporary,Active,Assigned,07-04-2023
348785,Aarya Mishra,20-12-1964,Male,Contract,Division C,Operations,External,08-09-2023,28-11-2020,Junior,Permanent,Active,Assigned,14-02-2022
698149,Krishna Nair,16-02-1978,Female,Full-time,Division A,Marketing,Internal,27-03-2023,29-01-2023,Lead,Temporary,Active,Unassigned,22-04-2023
505498,Riya Pandey,18-04-1967,Male,Contract,Division A,Marketing,Internal,28-03-2022,23-01-2022,Mid,Temporary,Inactive,Assigned,08-10-2023
321569,Aarohi Jain,27-02-1978,Male,Contract,Division A,Operations,External,28-12-2021,09-03-2021,Junior,Contractual,Active,Assigned,07-12-2020
886986,Aarya Mishra,27-11-1967,Female,Contract,Division C,Operations,External,09-09-2020,23-06-2020,Senior,Contractual,Active,Unassigned,19-07-2023
930938,Anika Desai,16-06-1994,Female,Contract,Division B,Operations,External,13-11-2023,09-08-2021,Lead,Contractual,Active,Unassigned,26-08-2020
825555,Anika Desai,17-03-1989,Male,Part-time,Division A,Operations,External,31-12-2020,21-05-2020,Mid,Permanent,Active,Assigned,27-01-2020
721114,Sai Krishna,13-10-1963,Male,Full-time,Division A,Operations,External,15-03-2022,25-04-2020,Mid,Temporary,Active,Assigned,28-08-2022
103479,Ayaan Roy,01-08-1979,Female,Contract,Division C,Operations,Internal,21-07-2024,26-09-2020,Junior,Contractual,Active,Unassigned,07-09-2020
642830,Reyansh Gupta,03-10-1986,Female,Full-time,Division B,Marketing,External,12-02-2021,29-08-2020,Lead,Contractual,Inactive,Unassigned,11-03-2021
223864,Vihaan Agarwal,05-01-1979,Female,Contract,Division C,Operations,Internal,03-12-2020,14-05-2020,Junior,Permanent,Active,Assigned,03-05-2023
867386,Myra Kapoor,30-11-1984,Male,Full-time,Division C,Operations,Internal,17-04-2024,31-08-2022,Lead,Temporary,Active,Assigned,21-01-2021
100869,Reyansh Gupta,13-06-2004,Male,Contract,Division B,Operations,External,16-07-2021,16-10-2020,Senior,Temporary,Active,Unassigned,22-10-2023
686585,Diya Shah,26-02-2004,Male,Contract,Division B,Operations,External,16-09-2023,18-02-2023,Senior,Temporary,Active,Assigned,23-12-2023
114119,Vivaan Patel,16-10-1996,Female,Full-time,Division A,Operations,Internal,25-04-2021,15-12-2020,Senior,Permanent,Active,Unassigned,27-08-2021
970969,Aarohi Jain,22-12-1988,Female,Contract,Division B,Operations,External,09-05-2021,08-02-2021,Senior,Permanent,Inactive,Unassigned,01-05-2023
791943,Reyansh Gupta,24-04-2002,Male,Contract,Division A,Marketing,Internal,01-05-2022,04-08-2021,Mid,Permanent,Active,Assigned,27-12-2020
325194,Reyansh Gupta,10-01-1991,Female,Part-time,Division A,Marketing,External,11-06-2020,13-05-2020,Mid,Contractual,Active,Unassigned,16-02-2020
729262,Krishna Nair,18-12-2005,Female,Contract,Division A,Operations,External,12-04-2023,03-10-2020,Senior,Temporary,Active,Assigned,15-08-2021
215555,Ishaan Singh,17-06-1979,Female,Part-time,Division B,Operations,External,11-05-2020,11-09-2019,Junior,Temporary,Active,Unassigned,18-06-2024
760009,Ira Joshi,17-06-1982,Female,Contract,Division C,Operations,External,20-11-2023,06-06-2023,Mid,Temporary,Inactive,Assigned,27-01-2022
286187,Ananya Mehta,11-10-1992,Male,Contract,Division B,Operations,Internal,13-02-2020,20-03-2019,Senior,Permanent,Active,Unassigned,13-02-2020
450438,Vihaan Agarwal,11-07-1986,Female,Part-time,Division C,Marketing,External,12-01-2023,21-01-2022,Mid,Temporary,Inactive,Assigned,03-03-2022
914856,Ananya Mehta,25-07-1983,Male,Contract,Division C,Operations,External,23-02-2021,02-06-2020,Lead,Permanent,Active,Unassigned,05-11-2023
559673,Riya Pandey,10-11-1994,Female,Part-time,Division B,Marketing,Internal,13-01-2021,28-03-2020,Mid,Contractual,Active,Unassigned,31-12-2022
885150,Aarav Sharma,31-10-1994,Female,Part-time,Division A,Operations,External,31-12-2020,03-05-2020,Mid,Temporary,Active,Unassigned,05-07-2024
353608,Reyansh Gupta,10-07-2006,Male,Part-time,Division C,Operations,Internal,14-07-2020,01-10-2019,Lead,Temporary,Active,Unassigned,11-06-2020
173256,Ananya Mehta,15-06-2000,Female,Contract,Division C,Operations,External,18-01-2020,29-05-2019,Senior,Permanent,Inactive,Assigned,29-08-2021
383135,Anika Desai,09-04-2004,Male,Contract,Division B,Operations,Internal,29-05-2020,09-08-2019,Junior,Permanent,Active,Unassigned,17-07-2021
448498,Arjun Reddy,18-05-1965,Female,Part-time,Division A,Operations,Internal,16-06-2024,31-05-2022,Senior,Permanent,Active,Assigned,23-06-2022
578963,Arjun Reddy,21-12-1985,Male,Part-time,Division A,Operations,Internal,25-07-2020,17-06-2020,Junior,Temporary,Inactive,Assigned,22-07-2021
989664,Avni Shukla,03-06-1964,Female,Full-time,Division A,Operations,External,11-04-2021,29-05-2020,Lead,Temporary,Active,Assigned,07-05-2024
964459,Myra Kapoor,08-10-1965,Female,Contract,Division A,Operations,External,27-05-2021,27-11-2020,Junior,Permanent,Inactive,Assigned,06-11-2021
161220,Vivaan Patel,27-01-1990,Male,Part-time,Division A,Operations,Internal,15-11-2020,05-08-2020,Senior,Contractual,Active,Assigned,04-04-2023
786724,Ishaan Singh,03-04-2001,Male,Full-time,Division B,Marketing,External,20-09-2023,09-02-2022,Junior,Contractual,Active,Assigned,03-01-2022
403410,Ananya Mehta,02-07-1983,Female,Contract,Division C,Marketing,Internal,17-05-2022,28-10-2021,Senior,Temporary,Inactive,Assigned,12-07-2022
714625,Avni Shukla,02-09-1997,Male,Full-time,Division C,Marketing,Internal,19-03-2020,09-01-2020,Mid,Permanent,Active,Assigned,03-04-2024
585219,Reyansh Gupta,10-10-1964,Female,Contract,Division B,Operations,Internal,26-03-2021,31-10-2020,Lead,Permanent,Active,Assigned,19-05-2023
956063,Ananya Mehta,25-10-1975,Male,Contract,Division C,Operations,Internal,12-11-2023,23-02-2022,Senior,Temporary,Active,Unassigned,12-12-2022
491910,Aditya Kumar,09-11-1994,Male,Part-time,Division A,Marketing,Internal,26-02-2022,14-11-2021,Lead,Contractual,Active,Assigned,22-10-2022
522142,Krishna Nair,06-02-1971,Male,Part-time,Division B,Marketing,Internal,15-07-2022,02-06-2022,Junior,Contractual,Active,Unassigned,19-07-2022
150555,Ananya Mehta,08-12-1992,Female,Contract,Division A,Operations,External,04-08-2022,23-07-2021,Lead,Permanent,Active,Unassigned,10-11-2020
420340,Avni Shukla,05-11-1992,Female,Full-time,Division B,Operations,External,04-10-2021,22-03-2021,Junior,Temporary,Active,Unassigned,09-05-2023
773968,Riya Pandey,03-09-1970,Male,Contract,Division C,Operations,Internal,29-09-2021,22-01-2021,Senior,Contractual,Active,Assigned,06-05-2023
554560,Aadhya Verma,26-04-2006,Female,Contract,Division C,Operations,External,15-12-2020,05-05-2020,Lead,Permanent,Active,Unassigned,05-09-2023
387701,Aarya Mishra,07-10-1982,Female,Contract,Division A,Operations,Internal,25-10-2021,25-12-2020,Mid,Contractual,Active,Unassigned,01-12-2022
857535,Ishaan Singh,19-07-1976,Female,Full-time,Division A,Operations,External,17-11-2022,12-03-2022,Senior,Contractual,Active,Unassigned,10-03-2021
988275,Vivaan Patel,02-12-2000,Male,Contract,Division C,Operations,External,04-02-2023,30-12-2022,Lead,Permanent,Active,Unassigned,28-12-2022
794802,Diya Shah,18-10-1982,Female,Full-time,Division B,Operations,Internal,10-06-2024,04-07-2022,Senior,Temporary,Active,Unassigned,04-06-2022
948139,Anika Desai,11-09-1977,Male,Part-time,Division C,Operations,Internal,25-02-2021,24-05-2020,Junior,Contractual,Active,Assigned,07-10-2023
170421,Aarohi Jain,05-05-1975,Female,Part-time,Division B,Operations,External,09-04-2024,07-02-2020,Junior,Temporary,Inactive,Unassigned,07-10-2020
890477,Ishaan Singh,31-08-1978,Female,Part-time,Division C,Operations,External,23-05-2023,04-01-2021,Junior,Permanent,Active,Assigned,04-02-2024
721316,Ira Joshi,08-08-1978,Female,Full-time,Division B,Marketing,External,08-05-2024,20-09-2020,Mid,Temporary,Active,Assigned,22-12-2021
292405,Sai Krishna,01-11-1973,Female,Part-time,Division A,Marketing,External,16-02-2022,26-10-2021,Lead,Temporary,Active,Assigned,03-08-2020
733134,Aarohi Jain,29-01-1969,Female,Contract,Division A,Operations,External,02-12-2023,27-03-2023,Mid,Contractual,Active,Assigned,13-05-2023
986658,Reyansh Gupta,15-01-1971,Female,Contract,Division B,Operations,Internal,28-01-2021,15-04-2020,Senior,Contractual,Active,Assigned,02-06-2024
275171,Myra Kapoor,25-12-1971,Female,Part-time,Division B,Operations,Internal,11-02-2021,14-02-2020,Senior,Temporary,Inactive,Unassigned,21-09-2023
526763,Aarav Sharma,19-03-1985,Male,Contract,Division A,Marketing,External,21-12-2022,18-04-2022,Lead,Contractual,Active,Unassigned,20-09-2021
664346,Ira Joshi,15-11-1986,Female,Contract,Division B,Operations,External,01-11-2020,02-10-2020,Senior,Contractual,Active,Unassigned,14-07-2024
472973,Reyansh Gupta,23-07-1972,Female,Full-time,Division A,Operations,External,27-03-2023,22-01-2021,Lead,Temporary,Active,Unassigned,16-09-2020
545289,Anika Desai,12-04-1974,Female,Full-time,Division A,Operations,Internal,13-06-2022,21-07-2021,Lead,Contractual,Active,Unassigned,16-02-2021
184661,Ishaan Singh,05-04-1986,Male,Part-time,Division A,Marketing,Internal,23-08-2021,05-01-2021,Junior,Permanent,Inactive,Unassigned,28-09-2020
523368,Arjun Reddy,23-01-2000,Female,Full-time,Division A,Marketing,Internal,31-12-2023,21-01-2023,Lead,Contractual,Active,Unassigned,02-09-2022
931850,Ira Joshi,24-03-1985,Female,Full-time,Division A,Operations,External,13-05-2024,02-06-2021,Senior,Temporary,Active,Assigned,12-04-2024
902576,Reyansh Gupta,26-02-2000,Female,Contract,Division C,Operations,Internal,09-02-2020,12-04-2019,Lead,Permanent,Active,Assigned,04-11-2023
295436,Myra Kapoor,12-01-1982,Female,Contract,Division C,Marketing,External,29-03-2020,31-10-2019,Senior,Temporary,Inactive,Assigned,01-04-2022
287011,Ira Joshi,03-09-2005,Female,Contract,Division B,Marketing,Internal,07-04-2020,15-08-2019,Mid,Permanent,Active,Unassigned,23-12-2020
833667,Aarav Sharma,20-04-1969,Male,Part-time,Division B,Marketing,Internal,22-09-2020,24-05-2020,Mid,Permanent,Active,Unassigned,07-07-2020
455295,Vivaan Patel,24-02-1964,Male,Contract,Division A,Operations,External,15-11-2021,15-02-2021,Senior,Contractual,Active,Assigned,17-03-2024
777739,Aditya Kumar,13-09-1976,Female,Full-time,Division A,Marketing,Internal,29-06-2024,31-12-2022,Senior,Temporary,Active,Unassigned,15-07-2020
947229,Myra Kapoor,16-11-1979,Female,Part-time,Division A,Marketing,Internal,18-06-2024,03-02-2020,Senior,Temporary,Active,Unassigned,22-04-2024
784376,Vihaan Agarwal,23-05-1983,Female,Full-time,Division A,Operations,External,13-03-2023,20-01-2023,Mid,Contractual,Inactive,Unassigned,25-01-2022
270380,Ishaan Singh,08-08-1990,Male,Part-time,Division B,Operations,External,10-11-2023,17-09-2020,Mid,Temporary,Inactive,Assigned,13-05-2022
223942,Riya Pandey,03-08-1985,Male,Full-time,Division A,Operations,External,13-11-2020,03-07-2020,Lead,Contractual,Active,Unassigned,09-01-2023
600732,Reyansh Gupta,28-08-1985,Male,Part-time,Division A,Operations,External,12-10-2021,24-10-2020,Junior,Permanent,Active,Assigned,22-07-2022
770115,Reyansh Gupta,11-10-1987,Female,Part-time,Division B,Operations,Internal,10-07-2020,04-06-2020,Junior,Contractual,Active,Assigned,21-03-2020
972548,Ishaan Singh,04-04-1968,Female,Full-time,Division A,Operations,Internal,23-05-2024,23-12-2021,Mid,Contractual,Active,Assigned,16-11-2023
145136,Avni Shukla,09-04-1967,Male,Part-time,Division B,Operations,Internal,26-01-2024,09-05-2020,Mid,Permanent,Active,Unassigned,31-05-2021
